"company","datacenter_name","datacenter_id","mi_datacenter_id","mi_company_id","facility_owner","street_address","total_UPS_power","net_UPS_power","net_UPS_power_utilized","total_utility_power","PUE","kW_per_rack","total_revenue","year_built","year_operational","quarter_operational","year_retrofitted","year_decommissioned","quarter_decommissioned","operational_status","center_type","tenant_type","county","state_ab","state","zip_code","latitude","longitude"
"Lumen Technologies, Inc.","Lansing - Premier","3993","10338781","4057179","Lumen Technologies, Inc.","1206 May Street",300,300,150,540,1.8,10.5,0.17,NA,NA,NA,NA,NA,NA,"Operational","Retail","Single","Ingham","MI","Michigan","48906",42.742039,-84.534383
"Energy Abundance Development Corporation","Laredo","15093","10366795","105802326","Energy Abundance Development Corporation",NA,0,0,0,225000,1.5,0,0,2026,2026,4,NA,NA,NA,"Planned","Wholesale","Multi","Webb","TX","Texas",NA,27.61495,-99.49233
"Lumen Technologies, Inc.","Laredo - Premier","4055","10338977","4057179","Lumen Technologies, Inc.","518 Farragut",150,150,75,225,1.5,5.25,0.14,NA,NA,NA,NA,NA,NA,"Operational","Retail","Single","Webb","TX","Texas","78040",27.505799,-99.501508
"VTX1 Companies","Laredo VTX","11125","10341671","107057916","VTX1 Companies","520 Matamoros",100,100,63,180,1.8,3.5,0.22,NA,NA,NA,NA,NA,NA,"Operational","Telco","Multi","Webb","TX","Texas","78040",27.506548,-99.503993
"Fiberhub","Las Vegas","890","10318443","19972553","Fiberhub","1110 Palms Airport Drive, # 110",869,869,773.41,1303.5,1.5,4.72,1.56,2009,2009,NA,NA,NA,NA,"Operational","Retail","Multi","Clark","NV","Nevada","89119",36.066021,-115.138511
"Zayo Group Holdings, Inc.","Las Vegas","1061","10343907","4547331","Flexential Inc.","304 E. Carson Ave.",0,0,0,0,1.6,0,0,2011,2011,1,NA,2021,2,"Not Operational","Retail","Multi","Clark","NV","Nevada","89101",36.168324,-115.143059
"Telecom Real Estate Services, LLC","Las Vegas","2502","10320411","7595885","Telecom Real Estate Services, LLC","4527 Losee Rd",0,0,0,0,1.3,0,0,NA,NA,NA,NA,2010,1,"Not Operational","Retail","Multi","Clark","NV","Nevada","89081",36.242458,-115.11758
"EdgeConneX","Las Vegas","3684","10181599","117722742","EdgeConneX","1541 Pama Lane",310,310,201.5,527,1.7,2.65,0.62,NA,NA,NA,2014,NA,NA,"Operational","Retail","Multi","Clark","NV","Nevada","89119",36.06536,-115.1309
"Gold DATA Centers","Las Vegas","3736","10338529","5281009","Gold DATA Centers",NA,0,0,0,0,1.6,0,0,NA,NA,NA,NA,2010,1,"Not Operational","Retail","Multi","Clark","NV","Nevada",NA,36.169941,-115.13983
"Syptec, Inc.","Las Vegas","4722","10338541","11551663","Flexential Inc.","302 E. Carson St.",75,75,57.75,97.5,1.3,2.62,0.22,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Clark","NV","Nevada","89101",36.168647,-115.143569
"ColoXchange","Las Vegas","5734","10339710","29416262","ColoXchange","823 Pilot Rd, Suite A",1540,1540,1078,2618,1.7,5.39,1.66,2014,2014,1,NA,NA,NA,"Operational","Retail","Multi","Clark","NV","Nevada","89119",36.061286,-115.14232
"Novva Data Centers","Las Vegas","13449","10346408","107455855","Novva Data Centers","6115 Nicco Way",49926.53,49926.53,49926.53,69897.14,1.4,10.64,28.15,2024,2024,1,NA,NA,NA,"Operational","Powered Shell","Multi","Clark","NV","Nevada","89115",36.271951,-115.048747
"Switch, Inc.","Las Vegas 1","5738","10339723","5078010","Switch, Inc.","4495 E. Sahara Ave.",0,0,0,0,1.3,0,0,NA,NA,NA,NA,2012,1,"Not Operational","Retail","Multi","Clark","NV","Nevada","89104",36.14368,-115.076717
"Switch, Inc.","Las Vegas 10","3174","10320008","5078010","Switch, Inc.","7375 S. Lindell Rd.",7603,7603,7450.94,12925.1,1.7,2.36,47.69,2017,2017,1,NA,NA,NA,"Operational","Wholesale","Multi","Clark","NV","Nevada","89139",36.055028,-115.216933
"Switch, Inc.","Las Vegas 11","7903","10346810","5078010","Switch, Inc.","7380 S. Lindell Rd.",7604,7604,7451.92,12926.8,1.7,2.36,47.69,2019,2019,4,NA,NA,NA,"Operational","Wholesale","Multi","Clark","NV","Nevada","89139",36.055267,-115.216257
"Switch, Inc.","Las Vegas 12","5739","10339726","5078010","Switch, Inc.","5225 W Capovilla Ave.",0,0,0,0,1.8,0,0,NA,NA,NA,NA,2010,1,"Not Operational","Wholesale","Multi","Clark","NV","Nevada","89118",36.057835,-115.214185
"Switch, Inc.","Las Vegas 14","7904","10340607","5078010","Switch, Inc.","W. Maule Ave",16896,16896,16558.08,40000,1.7,5.25,47.69,2024,2024,3,NA,NA,NA,"Operational","Wholesale","Multi","Clark","NV","Nevada","89118",36.06527,-115.22209
"Switch, Inc.","Las Vegas 15","7905","10340611","5078010","Switch, Inc.","W. Maule Ave",16896,16896,16558.08,40000,1.2,5.25,47.69,2022,2022,2,NA,NA,NA,"Operational","Wholesale","Multi","Clark","NV","Nevada","89118",36.06402,-115.22117
"Switch, Inc.","Las Vegas 16","13450","10346423","5078010","Switch, Inc.","W. Maule Ave",0,0,0,28723.2,1.7,0,0,2027,2027,1,NA,NA,NA,"Planned","Wholesale","Multi","Clark","NV","Nevada","89117",36.06585,-115.21829
"Switch, Inc.","Las Vegas 2","1871","10319588","5078010","Switch, Inc.","2475 South Arden Street",1859,1859,1821.82,3160.3,1.7,4.73,4.63,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Clark","NV","Nevada","89118",36.1446,-115.07491
"Switch, Inc.","Las Vegas 3","1872","10319591","5078010","Switch, Inc.","4495 E. Sahara Ave.",0,0,0,0,1.8,0,0,NA,NA,NA,NA,2012,1,"Not Operational","Retail","Multi","Clark","NV","Nevada","89118",36.14368,-115.076717
"Switch, Inc.","Las Vegas 4","1873","10319595","5078010","Switch, Inc.","4495 E. Sahara Ave.",4145,4145,4062.1,7461,1.8,4.73,16.11,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Clark","NV","Nevada","89118",36.14368,-115.076717
"Switch, Inc.","Las Vegas 5","1874","10319599","5078010","Switch, Inc.","4489 E. Sahara Ave.",2090,2090,2048.2,3344,1.6,4.73,4.85,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Clark","NV","Nevada","89118",36.142725,-115.076717
"Switch, Inc.","Las Vegas 6","1875","10319602","5078010","Switch, Inc.","4495 E. Sahara Ave.",1279,1279,1253.42,2174.3,1.7,4.72,4.01,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Clark","NV","Nevada","89118",36.14368,-115.076717
"Switch, Inc.","Las Vegas 7","1876","10181446","5078010","Switch, Inc.","7135 South Decatur Boulevard",33792,33792,33116.16,43929.6,1.3,7,71.53,2000,2000,NA,NA,NA,NA,"Operational","Retail","Multi","Clark","NV","Nevada","89118",36.05988,-115.210221
"Switch, Inc.","Las Vegas 8","1877","10207132","5078010","Switch, Inc.","7135 South Decatur Boulevard",22528,22528,22077.44,29286.4,1.3,7,26.23,2012,2012,1,NA,NA,NA,"Operational","Wholesale","Multi","Clark","NV","Nevada","89118",36.05817,-115.21213
"Switch, Inc.","Las Vegas 9","2500","10320405","5078010","Switch, Inc.","7365 S. Lindell Rd.",22528,22528,22077.44,40550.4,1.8,7,31.54,2015,2015,1,NA,NA,NA,"Operational","Wholesale","Multi","Clark","NV","Nevada","89139",36.055133,-115.216954
"Lumen Technologies, Inc.","Las Vegas Silvestri - Premier","4012","10338840","4057179","Lumen Technologies, Inc.","3944 E. Silvestri Lane",0,0,0,0,1.7,0,0,NA,NA,NA,NA,2010,1,"Not Operational","Retail","Multi","Clark","NV","Nevada","89120",36.077079,-115.088107
"Centersquare","LAS10","7728","10346759","124026378","Switch, Inc.","7135 S. Decatur Blvd.",0,0,0,0,1.3,0,0,2000,2014,4,NA,2022,1,"Not Operational","Retail","Multi","Clark","NV","Nevada","89118",36.059811,-115.210221
"Centersquare","LAS11","7729","10167427","124026378","Switch, Inc.","5225 West Capovilla Avenue",0,0,0,0,1.3,0,0,2014,2014,4,NA,2024,1,"Not Operational","Retail","Multi","Clark","NV","Nevada","89118",36.0579,-115.21393
"Centersquare","LAS12","7730","10340562","124026378","Switch, Inc.","7365 S. Lindell Rd",0,0,0,0,1.8,0,0,2015,2015,1,NA,2022,NA,"Not Operational","Retail","Multi","Clark","NV","Nevada","89139",36.055133,-115.216954
"AiNET Corporation","Laurel","71","10352600","5081019","AiNET Corporation","312 Laurel Ave",1020,1020,1020,1632,1.6,2.98,6,NA,NA,NA,NA,NA,NA,"Operational","Retail","Single","Prince George's","MD","Maryland","20707",39.101379,-76.847997
"QuadraNet, Inc.","LAX","77","10247466","5190799","QuadraNet, Inc.","6171 West Century Boulevard",3212,3212,2441.12,5782,1.8,5.11,5.8,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90045",33.945894,-118.393553
"Atlantic Metro Communications, Inc.","LAX0","152","10352722","5169931","CoreSite Realty Corporation","624 South Grand Avenue One Wilshire Building, Suite 1010",1416,1416,1359.36,2690,1.9,4.96,4.84,NA,NA,NA,NA,NA,NA,"Operational","Telco","Multi","Los Angeles","CA","California","90017",34.047948,-118.255358
